,rating,time,content,label
0,평점5,20.05.28.,긴가민가 하고 구매했는데 보습력 좋고 트러블도 안올라와요. 보습막이 살짝 생가는 느낌이에요. 다만 흡수사 더뎌서 좀 시간차를 두고 문질러 줘야 해요. 요즘엔 이거랑 같은 라인인 스킨을 화장솜에 묻혀 팩처럼 얹어 준 후 이것만 발라요. 그냥 일반 피부결 정리하는 무난힌 토너랑 이것만 발라도 좋아요. 메이크업 궁합도 좋아요. 무기자차나 혼합자차가 건조한데 이거 위에 바름 당기지 않고 적당한 광이 도는듯 피부 좋아 보여요.,1
1,평점4,20.07.11.,항상 세안후 속당김이 심한 건성피부입니다. 유분감이 그리 많지 않은 적당한 촉촉함을 가진 로션을 찾고 있었는데 이 로션이 가장 적합한 것 같아요~ 우선 무향이라 좋았고 촉촉함도 오래가는편이에요. 아직 한번 사용이라 피부상태는 꾸준히 쓰며 지켜봐야 할것 같은데 일단 첫발림은 좋아서 기대하고 있어요~,1
2,평점5,20.07.10.,"하다라보 고쿠준 밀크 두번째 사용하네요.
가볍게 발림좋고 보습도 괜찮은 편이예요.
저 같은 경우에는 여름에 가볍게 바를 때에는 하다라보 고쿠준 밀크를 이용하는데
순하면서도 보습력 좋으면서
바른 후 끈적임 없어 좋은 것 같아요.",1
3,평점5,20.04.10.,"촉촉하고 트러블도 없어요. 피부에 스며드는 느낌보다 막을 씌워주는 느낌이 있어요. 요즘 혼합자차만 바르는 날이 많은데, 혼합자차나 무기자차는 오후 되면 당기는데, 이 제품을 바르고 혼자차 사용하니 건조함 당김이 덜해요. 다만, 막을 씌우는 느낌이 강하게 들다보니, 흡수가 잘되는 보습에센를 꼭 먼저 사용하고 있어요. 피부가 매끈해 지는것 같아요.",1
4,평점5,20.12.23.,부드럽고 촉촉하게 발리네요. 가격대비 괜찮아서 계속 재구매해서 사용중입니다. 부드럽고 촉촉하게 발리네요. 가격대비 괜찮아서 계속 재구매해서 사용중입니다. 부드럽고 촉촉하게 발리네요. 가격대비 괜찮아서 계속 재구매해서 사용중입니다.,1
5,평점5,18.12.08.,로션은 스킨처럼 보였는데 에센스를 바르는 듯 점성이 있어요. 170ml로 양도 넉넉합니다. 밀크는 일반 로션인데 훨씬 묽어요. 로션과 에센스를 섞은 듯한 발림감입니다. 140ml로 이 역시 많아요. 세트를 저렴하게 사서 가성비 끝판왕인듯. 요즘 핫한 히알루론산을 저렴하게 바를 수 있어 감사해요. 먹는 히알루론산도 먹은지 한 달째인데 적정 섭취량보다 적은 하루 한 알만 먹었는데도 효과가 있는 듯 해요. 얼굴 근육 운동 기구인 파오도 5개월 째 사용하고 있는데 확실히 효과가 있는 듯 해요. 뭐든 다방면으로 꾸준히 관리하는 게 성과를 보이는 듯 해요. 얼굴탄력이 갑작스레 떨어져 정말 우울했었는데 희망이 생겼어요. 제가 너무 늦진 않았나 봐요. ^^,1
6,평점5,19.02.18.,"히다라보 고쿠쥰 세트, 처음 접해보는데 기대가 됩니다.
수퍼 히알루론산과 나노화 히알루론산에 집중한 로션과 촉촉함과 윤기를 위한 고보습 화장수가
세트로 있다고 하고 일본에서 크게 인기했다던 제품이고,
사용해보고 좋으면 크림도 좋다고 하니 구입해보려고 합니다.",1
7,평점5,19.06.19.,"제품 좋아서 계속 주문해 쓰고 있어요

배송도 빠르고 싸게 잘 구입했어요~^^

기본 10자 이상 작성시 100P 즉시지급

이미지 등록시 100P 즉시 추가지급

개당 상품 가격이 5,000원 이하 상품은 적립대상에서 제외되며,

리뷰 포인트는 최초 1회 작성시에만 지급됩니다.같은 단어가 반복된 내용은 임의로 삭제되며, 지급된 포인트가 회수될 수 있습니다.

다른 고객님들에게 유용한 상품 리뷰를 작성해주세요.",1
8,평점4,18.07.10.,"지성피부인 저두 보습에 필요성은 항상 느끼고 있었는데...많은 사람들이 가성비가 좋다고 해서 구매했습니다. 하지만 로션과 밀크 라고 되어 있는 세트를 보니 두가지가 로션기능인줄 알고 하나 다 쓰고 나머지 써야 하나 싶었는데.. 알아보니 로션이 스킨역할이고 밀크가 로션 역할이더군요..모르시는분들 참고 하시면될듯합니다.
밀크를 우선 발라봤는데... 확실히 바른뒤에 건조해지는 느낌은 없었어요 그렇지만 지성피부인 저는 씻고 막 발랐을땐 뽀송뽀송 느낌 좋았는데 시간지나니까 얼굴 유분과 썩여서 얼굴이 번들번들 윤기가 장난 아니더라구요... 배송도 조금 늦는 감이 있고.. 아무든 전체적으로 보통입니다. 다른기능성을 구매해서 써야할꺼 같습니다. 너무 얼굴이 기름으로 번들번들 해져서지속적 사용은 힘들꺼 같구요 건성 지성 복합성 이런걸 확실히 잘 따지고 화장품을 골라야 한다는걸 깨달았네요.",1
9,평점5,18.10.23.,하다라보 이름만 들었지 처음으로 구매했습니다! 지성이랑 건성이랑 같이 있는 피부라서 많이 민감하고 예민해서 걱정이 되었는데 써보니깐 되게 촉촉하고 맑고 부드럽고 흡수력이 정말 좋았습니다! 국내것만 쓰다보니 몰랐는데 일본꺼 완전 호감이네용 ㅎㅎ 앞으로 계속해서 써보고 피부가 좋아졌으면 좋겠습니다!! 트러블도 안나고 건조함도 예방할슈 있어서 정말 좋아요 완전 강추입니다!!ㅎㅎ,1
10,평점4,18.11.18.,"광고에서만 접해보고 좋다는소리는 들어봤으나 처음 사용해보았네요
하다라보 명성에 걸맞게 촉촉하고 그 촉촉한감이 오랫동안 지속되고 좋네요 ㅎㅎ
약간 시간이 지나면 기름진느낌이 들기도 하지만 다른제품들도 그러하니 이해할수잇는 부분이라 생각합니다 .가격도 저렴하게 구매하고 배송도 빨랐습니다. 좋았습니다.",1
11,평점5,19.04.21.,"잘쓰고 있습니다..강추!!

기본 10자 이상 작성시 100P 즉시지급

이미지 등록시 100P 즉시 추가지급

개당 상품 가격이 5,000원 이하 상품은 적립대상에서 제외되며,

리뷰 포인트는 최초 1회 작성시에만 지급됩니다.같은 단어가 반복된 내용은 임의로 삭제되며, 지급된 포인트가 회수될 수 있습니다.

다른 고객님들에게 유용한 상품 리뷰를 작성해주세요.",1
12,평점5,18.10.19.,"하다라보 고쿠쥰으로 촉촉한 겨울나기.
여름엔 스킨타입으로 쓰다가 가을엔 로션으로 바꿔줍니다.
보습력이 더 좋아서 건성피부에 딱입니다.
리치하지않아 거의다 피부에 흡수되어서 너무 좋습니다.
하다라보 바르고 그위에 오일로 한겹 코팅해주면 월동준비는 끝입니다.
많이 바른다고 피부가 다 흡수하는 게 아니니 과하면 부족함만 못합니다.
피부에도 미니멀라이프를 실천하세요",1
13,평점5,18.12.07.,"아주 촉촉하고 좋아서 늘 쓰고있어요

기본 10자 이상 작성시 100P 즉시지급

이미지 등록시 100P 즉시 추가지급

개당 상품 가격이 5,000원 이하 상품은 적립대상에서 제외되며,

리뷰 포인트는 최초 1회 작성시에만 지급됩니다.같은 단어가 반복된 내용은 임의로 삭제되며, 지급된 포인트가 회수될 수 있습니다.

다른 고객님들에게 유용한 상품 리뷰를 작성해주세요.",1
14,평점5,18.11.29.,"배송도 가격도 품질도 모두 굿 ~^^

기본 10자 이상 작성시 100P 즉시지급

이미지 등록시 100P 즉시 추가지급

개당 상품 가격이 5,000원 이하 상품은 적립대상에서 제외되며,

리뷰 포인트는 최초 1회 작성시에만 지급됩니다.같은 단어가 반복된 내용은 임의로 삭제되며, 지급된 포인트가 회수될 수 있습니다.

다른 고객님들에게 유용한 상품 리뷰를 작성해주세요.",1
15,평점5,19.02.21.,"기본 10자 이상 작성시 100P 즉시지급

이미지 등록시 100P 즉시 추가지급

개당 상품 가격이 5,000원 이하 상품은 적립대상에서 제외되며,

리뷰 포인트는 최초 1회 작성시에만 지급됩니다.같은 단어가 반복된 내용은 임의로 삭제되며, 지급된 포인트가 회수될 수 있습니다.

다른 고객님들에게 유용한 상품 리뷰를 작성해주세요.



빠른배송감사합니다

상품도손상없네요",1
16,평점5,18.11.18.,"제가 며칠전에 사서 이용하니까 피부 표현느낌이 너무 좋더라구요 남자친구가 볼 느낌 너무 좋다고 좋아했어요. 그러더니 본인도 쓰고 싶다고 해서 하나 시켜줬습니다. 판매하는 다른 곳보다 싼 거 확인하고 구매했어요, 정말 추천드립니다",1
17,평점2,18.07.29.,오늘 밤에 세수하고 쓰려고 뜯어보니까 상품이 이딴식으로 왔네요 뚜껑 부러져서 옆에 로션 줄줄 세고 있었고 욕이 안나올래야 안나올수가 없네요 택배에서 물건을 막 다뤘다지만 깨질 수있는 물건이면 포장은 잘 해야되는게 기본아닌가요? 물건 파는 기본이 안되어 있는듯요 기분좋게 산건데 배송 포장 엉망으로 하고.. 물론 택배측에서도 잘못은 있겠죠 근데 깨질걸알면 포장 좀 제대로 하세요 여기 리뷰쓰는것도 보니까 구매확정 해야하던데 구매확정하면 교환반품 안된다고.. 무슨 소비자들 농락하는것도 아니고 암튼 장사 그렇게 하지마세요,0
18,평점5,18.10.12.,"기본 10자 이상 작성시 100P 즉시지급

이미지 등록시 100P 즉시 추가지급

개당 상품 가격이 5,000원 이하 상품은 적립대상에서 제외되며,

리뷰 포인트는 최초 1회 작성시에만 지급됩니다.같은 단어가 반복된 내용은 임의로 삭제되며, 지급된 포인트가 회수될 수 있습니다.

다른 고객님들에게 유용한 상품 리뷰를 작성해주세요.",1
19,평점5,18.10.01.,"기본 10자 이상 작성시 100P 즉시지급

이미지 등록시 100P 즉시 추가지급

개당 상품 가격이 5,000원 이하 상품은 적립대상에서 제외되며,

리뷰 포인트는 최초 1회 작성시에만 지급됩니다.같은 단어가 반복된 내용은 임의로 삭제되며, 지급된 포인트가 회수될 수 있습니다.

다른 고객님들에게 유용한 상품 리뷰를 작성해주세요.",1
20,평점5,18.07.16.,"20대 후반 남자입니다. 누나의 추천으로 한번 써보고 계속해서 이제품만 사용하고 있습니다.
하다라보 세트를 가장 저렴하게 구매를 했네요. 광고 그대로 모찌스런? 피부가 되어가고 있습니다.
주변에서 왜이리 피부가 좋아졌냐고 정말 그럽니다.. 민감한 피부임에도 순하고 자극없어 매우 좋
아요.",1
21,평점5,17.02.21.,겨울이라 촉촉한 기초를 쓰고 싶어서 구입했는데 오후에 주문했음에도 바로 다음날 받아볼 수 있게 보내주셨어요. 완전 짱~~~ 조금 남아있던 화장품 다 쓰고 개봉했는데 향도 없고 순해서 따갑거나 하지않고 촉촉하지만 끈적이지 않아 좋으네요. 겉에 붙은 비닐이 개봉할때 다 벗겨져서 로션은 맨몸이에요. ㅋ 유리병보다 쓰기는 편합니다. 장단점은 있겠죠? 건조한 계절에는 꼭 써야겠어요.,1
22,평점5,17.05.29.,"로션은 미끌거리면서 바르면 뭔가 겉도는 느낌이랄까? 문지르고 톡톡 쳐도 그 느낌은 꽤 오래 가요.
얼굴에 착 붙는 느낌이 부족해서 좀 아쉽고,
밀크는 진짜 좋네요. 바를 땐 모르는데 피부에 닿고 조금 지나면 유분기는 없으면서 피부에 보호막 같은 걸 만들어 준다는 느낌이 들어요. 톡톡 두드리면 손바닥과 피부가 끈적하면서 달라붙는 느낌이 들구요,
무엇보다 보습력이 좋네요. 요즘 하도 건조해서 화장품 바꾼 건데 전에 쓰던 것과 확실이 달라서 더 만족입니다.",1
23,평점4,17.05.02.,고쿠쥰 로션이랑 밀크로 구성되어있는 총 2종 세트예요! 저는 인터파크 포인트랑 화이트데이 쿠폰 써서 할인 굉장히 많이 받고 구입했어요. 평소에 고쿠쥰 자주 쓰는데 쎈딜이라 저렴하게 구입할 수 있어 좋았어요. 피부에 발랐을때 쫀쫀한 밀착력이 보습에 탁월한거 같아요.,1
24,평점5,17.03.08.,기존 국산 제품에 비해 가격이 저렴한 점도 좋구요.요즘 바람도 많이 불어서 얼굴이 땡겼었는데 이거 바르고 나서 그런 문제도 해결됐네요.저는 지성인데도 얼굴이 땡기기도 하고 좀 귀찮은데 이거 바르고는 바른지 오래 지나도번들거림이나 땡김이나 생기지 않고 딱 적당한 촉촉함이 유지됩니다.,1
25,평점5,21.04.10.,배송도빠르고 항상쓰는제품이에요,1
26,평점5,21.04.15.,빨리 배송이 되어서 만족해요,1
27,평점5,21.04.06.,항상쓰던겅ㅔ요 조아요,1
28,평점5,21.04.26.,"역시 고쿠준
요것만 씀",1
29,평점5,21.03.29.,"로션 밀크 넘 좋아요~~~~
순하고 촉촉하고
저의 최애 화장품입니다",1
30,평점5,21.03.28.,"시로준 써보고 괜찮아서 구매했습니다. 촉촉하고 안끈적이고 자극없고 향도 크게 없고 쓰기 좋아요,",1
31,평점5,21.04.02.,배송빠르고 좋아요 전이것만씁니다,1
32,평점5,17.05.09.,무엇보다고 인터파크가 셋트로 한 것 중에 가장 싸서 질렀습니다..광고를 보시다시피 아시겠지만 피부에 딱 달라붙는다는 표현이 맞는거 같아요..이전에 아무리 비싼 스킨로션을 ?더라도 이것만큼은 만족감을 주지는 못했습니다..구입하실분은 망설이지 마시고 지르세요,1
33,평점5,21.03.26.,말이필요있나요 10년 넘게 이제품만 쓰고 있어요,1
34,평점5,21.03.18.,항상 로션은 이거를 사용해요,1
35,평점4,21.01.16.,항상 이 제품 사용하는데 촉촉해서 겨울에 쓰기 좋은 거 같아요!,1
36,평점5,21.02.03.,다음에도 살게용ㅎㅎㅎ,1
37,평점5,21.01.19.,촉촉하고 부드러위요💦💦,1
38,평점5,21.01.08.,엄청 오래 써오던 겁니다 한겨울에서 두번 덧바르면 촉촉해요,1
39,평점4,21.05.07.,계속해서 쓰는제품인데 가벼워진 느낌이네요,1
40,평점5,21.01.08.,늘 촉촉해서 애정하는 제품이에요,1
41,평점5,21.05.08.,배송 빠르게 잘 받았습니다~,1
42,평점5,21.05.10.,제 피부에 잘 맞아서 좋아요,1
43,평점5,21.05.11.,여전히 이것만 쓰네요~,1
44,평점5,17.05.14.,가성비 참좋은 제품인듯합니다. 경피독걱정도 덜수있을듯하내요 무향에 인체에 좋지 않은 성분은최소화된듯해요 피부가 민감해서 화장품고른는데 까다로운편인데 성분이좋으면 가격이 ..가격이 좋으면 성분이 아쉬웠는데... 계속 가성비 갑인 화장품으로 남길 바래봅니다,1
45,평점5,17.03.13.,정말 싸게 잘샀어요!!좋다고 말만 들었지 써보지는 못했는데스킨로션 다써서 한번 써보려고 샀는데 싸게 잘 산거같아요사용해보니 촉촉하니 좋으네요~!다 쓰면 다음에도 여기서 구입하려구요리필용도 판매하셨으면 좋겠어요ㅠㅠ그럼 많이 파세요~,1
